_id,Name,Phone,AddressLine1,AddressLine2
3165423401,CHENEY ANIMAL CLINIC,3165423401,1961 S 391ST ST W,"CHENEY, KS 67025"
3164442377,HEARTLAND VETERINARY SERVICES,3164442377,2800 N 247TH ST W,"ANDALE, KS 67001"
3164442504,ANDALE ANIMAL CLINIC,3164442504,PO BOX 186,"ANDALE, KS 67001"
6204597371,NINNESCAH VETERINARY SVC,6204597371,13408 S MOHAWK RD,"HUTCHINSON, KS 67501"
3167948022,GODDARD VETERINARY CLINIC,3167948022,PO BOX 735,"GODDARD, KS 67052"
6205323541,ANIMAL CLINIC,6205323541,538 E D AVE,"KINGMAN, KS 67068"
6205325544,SWANEY VETRINARY CLINIC,6205325544,1015 E US HWY 54,"KINGMAN, KS 67068"
3167224828,OAKCREST PET HOSPITAL,3167224828,11832 W CENTRAL AVE # 110,"WICHITA, KS 67212"
3162016292,PRAIRIE RIDGE ANIMAL HOSPITAL,3162016292,12506 W KELLOGG,"WICHITA, KS 67235"
3167226478,COMPANION ANIMAL HOSPITAL,3167226478,4590 N MAIZE RD STE 10,"MAIZE, KS 67101"
3167226444,INDIAN HILLS ANIMAL CLINIC,3167226444,1448 N MAIZE RD # 200,"WICHITA, KS 67212"
3167221085,BOGUE ANIMAL HOSPITAL WEST,3167221085,429 N MAIZE RD,"WICHITA, KS 67212"
3167221921,COMPANION ANIMAL HOSPITAL,3167221921,10555 MAPLE ST,"WICHITA, KS 67209"
6206638387,CENTRAL KANSAS VETERINARY CENTER,6206638387,515 W BLANCHARD AVE,"S HUTCHINSON, KS 67505"
3167294226,BEST FRIENDS PET CLINIC,3167294226,9424 W CENTRAL AVE,"WICHITA, KS 67212"
3167220100,WEST WICHITA PET CLINIC,3167220100,8615 W 21ST ST N,"WICHITA, KS 67205"
3167213993,ALL CREATURES VETERINARY HOSP,3167213993,8414 W 13TH ST N # 170,"WICHITA, KS 67212"
3167226240,HERNDON VETERINARY CLINIC,3167226240,8820 W MAPLE ST,"WICHITA, KS 67209"
3167083925,DAVID NOLAN VET SERVICES,3167083925,11150 W 109TH ST N,"SEDGWICK, KS"
6206636150,COUNTRY JUNCTION,6206636150,2021 E 4TH AVE,"HUTCHINSON, KS 67501"
3162602229,NORTHRIDGE VETERINARY CLINIC & REHABILITATION,3162602229,3233 N RIDGE RD,"WICHITA, KS 67205"
6206635770,PURPLE WILDCAT ANIMAL CLINIC,6206635770,317 W 2ND AVE,"HUTCHINSON, KS 67501"
3169421002,HELTEN VETERINARY CLINIC,3169421002,6630 W CENTRAL AVE,"WICHITA, KS 67212"
6206691253,PRAIRIE VISTA VETERINARY SUPL,6206691253,801 N MAIN ST,"HUTCHINSON, KS 67505"
3162668246,SEDGWICK COUNTY ZOO,3162668246,5555 ZOO BLVD,"WICHITA, KS 67212"
6206624453,ARK VETERINARY CLINIC,6206624453,1717 N PLUM ST,"HUTCHINSON, KS 67502"
6206635860,WESTSIDE VETERINARY CLINIC,6206635860,1730 NICKERSON BLVD,"HUTCHINSON, KS 67501"
3169429502,WICHITA DOG & CAT HOSPITAL,3169429502,5214 W CENTRAL AVE,"WICHITA, KS 67212"
6206620515,APPLE LANE ANIMAL HOSPITAL,6206620515,2909 APPLE LN,"HUTCHINSON, KS 67502"
6206658743,HUTCHINSON SMALL ANIMAL HOSP,6206658743,1201 E 30TH AVE,"HUTCHINSON, KS 67502"
3169460920,BANFIELD - WICHITA W,3169460920,533 S TRACY ST STE B,"WICHITA, KS 67209"
3169423900,INDIAN HILLS ANIMAL CLINICS,3169423900,3223 W 13TH ST N,"WICHITA, KS 67203"
3169424275,CARING HEARTS VETERINARY CLINIC,3169424275,3701 W MAPLE ST,"WICHITA, KS 67213"
3167725194,SEDGWICK VETERINARY CLINIC,3167725194,PO BOX 65,"SEDGWICK, KS 67135"
3169422531,PET HAVEN VETERINARY CLINIC,3169422531,2518 W 13TH ST N,"WICHITA, KS 67203"
3168380861,SWEETBRIAR VETERINARY CLINIC,3168380861,2070 W 21ST ST N,"WICHITA, KS 67203"
3167550189,VALLEY CENTER VETERINARY CLNC,3167550189,122 W MAIN ST,"VALLEY CENTER, KS 67147"
5308857432,LIC # 4629,5308857432,937 N LITCHFIELD AVE,"WICHITA, KS 67203"
3162621239,SENECA VETERINARY CLINIC,3162621239,435 N SENECA ST,"WICHITA, KS 67203"
3162626491,ARAPAHOE VETERINARY CLINIC,3162626491,2776 S SENECA ST,"WICHITA, KS 67217"
6204562088,CONWAY SPRINGS VETERINARY SVC,6204562088,PO BOX 145,"CONWAY SPRINGS, KS 67031"
3163478696,ADKINS MOBILE VET SERVICE,3163478696,"WICHITA, KS 67202",3163478696
3166500604,FOUR PAWS SPAY AND NEUTER,3166500604,PO BOX 8225,"WICHITA, KS 67208"
3162099251,CLAYBORN VET SERVICES,3162099251,PO BOX 325,"WICHITA, KS 67208"
3057310945,EMERGENCY HOSPITAL,3057310945,300 SOUTH GALE,"WICHITA, KS 67218"
3165243257,WINGERT ANIMAL HOSPITAL,3165243257,4419 S SENECA ST,"WICHITA, KS 67217"
3165226222,BROADWAY ANIMAL CLINIC,3165226222,3036 S BROADWAY ST,"WICHITA, KS 67216"
3167440501,CHISHOLM TRAIL ANIMAL HOSP,3167440501,1726 E 61ST ST N,"PARK CITY, KS 67219"
3162671094,AIR CAPITAL VETERINARY CLINIC,3162671094,419 S HYDRAULIC ST # 1,"WICHITA, KS 67211"
3042429420,WHEELING VETERINARY ASSOCIATES,3042429420,2167 NATIONAL RD,"WHEELING, WV 26003"
7037290700,ASHBURN VILLAGE ANIMAL HOSPITAL,7037290700,44110 ASHBURN SHOPPING PLZ UNIT 172,"ASHBURN, VA 20147"
5406686232,DUNTHORPE FARM VETERINARY SERVICES,5406686232,35709 SUFFOLK LANE,"HILLSBORO, VA 20132"
7038326902,EZVET URGENT CARE,7038326902,20020 ASHBROOK COMMONS PLAZA,"ASHBURN, VA 20147"
8003193880,EZVET URGENT CARE,8003193880,20020 ASHBROOK COMMONS PLAZA,"ASHBURN, VA 20147"
5712094179,GILLIAN BRADEN DVM,5712094179,19700 HELIX DR,"ASHBURN, VA 20147"
5406875249,MIDDLEBURG EQUINE CLINIC,5406875249,35389 MILLVILLE RD,"MIDDLEBURG, VA 20117"
5714428767,LOUDOUN VALLEY ANIMAL HOSPITAL,5714428767,22556 AMENDOLA TERR STE 120,"ASHBURN, VA 20148"
7035173999,MOBILE VETERINARIAN,7035173999,23158 MINERVA DR,"ASHBURN, VA 20148"
5405542004,BROAD,5405542004,33715 SNICKERSVILLE TPKE,"BLUEMONT, VA 20135"
3016821236,MOBILE VET,3016821236,42942 CULPS HILL LN,"LEESBURG, VA 20176"
5712008500,HARMONY HILL ANIMAL HOSPITAL,5712008500,23520 OVERLAND DR SUITE 110,"STERLING, VA 20166"
7033278425,FAMILY VETERINARY HOSPITAL OF STONE RIDGE,7033278425,24650 SOUTHPOINT DR STE 140,"CHANTILLY, VA 20152"
5408225927,WAGNER VETERINARIAN,5408225927,40110 QUAILRUN COURT,"LOVETTSVILLE, VA 20180"
7039944012,COUNTRYSIDE ANIMAL CLINIC STERLING,7039944012,113 EDDS LANE,"STERLING, VA 20165"
5713131388,CHURCH ROAD ANIMAL HOSPITAL,5713131388,45441 RURITAN CIR,"STERLING, VA 20164"
2406761990,JAVIER DONATELLI,2406761990,PO BOX 365,"POOLSVILLE, MD 20837"
3013494790,MY FAMILY VETERINARY HOSPITAL,3013494790,17710 ELDGIN RD,"POOLESWILLE, MD 20837"
5408823459,SPURLOCK EQUINE ASSOC,5408823459,RR 2,"LOVETTSVILLE, VA 20180"
5408224738,HOUSE PAWS ANIMAL HOSPITAL LOVETTSVILLE,5408224738,2 E PENNSYLVANIA AVE,"LOVETTSVILLE, VA 20180"
2174931983,DANIEL KING DVM,2174931983,"LOVETTSVILLE, VA 20180",2174931983
7032544475,BLUE RIDGE VETERINARY ASSOCIATES,7032544475,"LOVETTSVILLE, VA 20180",7032544475
7036439818,LIFECARE PET HOSPITAL,7036439818,25150 LOUDON COUNTY PKWY STE 100,"CHANTILLY, VA 20152"
3019727705,POOLESVILLE VETERINARY CLINIC,3019727705,19621 FISHER AVE,"POOLESVILLE, MD 20837"
3013495710,HOUSECALL VET,3013495710,"POOLESVILLE, MD 20837",3013495710
7033270909,ALDIE VETERINARY HOSPITAL,7033270909,25067 ELK LICK ROAD,"SOUTH RIDING, VA 20152"
7033270871,DELA SOUTH VET CENTER,7033270871,25067 ELKLICK RD,"SOUTH RIDING, VA 20152"
7034303000,STERLING PARK ANIMAL HOSPITAL,7034303000,800 W CHURCH RD,"STERLING, VA 20164"
3015120113,MOBILE VET,3015120113,17600 SOPER ST,"POOLESVILLE, MD 20837"
7034069591,BANFIELD - STERLING,7034069591,46220 POTOMAC RUN PLZ STE 150,"STERLING, VA 20164"
7039573297,PETS + VETS ANIMAL HOSPITAL,7039573297,43114 PEACOCK MARKET PLAZA,"SOUTH RIDING, VA 20152"
5406686505,GOOSE CREEK VETERINARY MOBILE CLINIC,5406686505,36691 SAWMILL LN,"PURCELLVILLE, VA 20132"
3016074025,MONOCACY EQUINE VETERINARY,3016074025,PO BOX 155,"BEALLSVILLE, MD 20839"
7038440660,CASCADES PET HOSPITAL,7038440660,21435 EPICERIE PLAZA STE 170,"STERLING, VA 20164"
3017752028,HOUSECALL VET,3017752028,18101 CATTAIL RD,"POOLESVILLE, MD 20837"
7035426170,BANFIELD - SOUTH RIDING,7035426170,25401 EASTERN MARKETPLACE PLAZA,"CHANTILLY, VA 20152"
3019727010,VCA PEACHTREE ANIMAL HOSPITAL,3019727010,18620 DARNESTOWN RD,"BEALLSVILLE, MD 20839"
9054521818,CAMPBELL VETERINARY HOSPITAL,9054521818,158 KENNEDY RD S #3,"BRAMPTON, ON L6W 3G7"
7034351324,ANIMAL HOME CARE,7034351324,100 S LINCOLN AVE,"STERLING, VA 20164"
7038359917,HERITAGE ANIMAL HOSPITAL,7038359917,46950 COMMUNITY PLAZA # 102,"STERLING, VA 20164"
7034444804,HERITAGE ANIMAL HOSPITAL,7034444804,46950 COMMUNITY PLZ # 102,"STERLING, VA 20164"
7036899580,BANFIELD - HERNDON,7036899580,1060 ELDEN ST,"HERNDON, VA 20170"
7033789791,NOVA PETS HEALTH CENTER,7033789791,3935 AVION PARK CT STE A102,"CHANTILLY, VA 20151"
5714340250,ANIMAL MEDICAL CENTER OF CASCADES,5714340250,20789 GREAT FALLS PLZ STE 180,"STERLING, VA 20165"
7037131200,CLOCKTOWER ANIMAL HOSPITAL,7037131200,2451 CENTREVILLE RD STE I12,"HERNDON, VA 20171"
7035423618,CLOCKTOWER ANIMAL HOSPITAL,7035423618,2451 CENTREVILLE RD,"HERNDON, VA 20171"
3018348000,BRUNSWICK VETERINARY OFFICE,3018348000,19 E POTOMAC ST,"BRUNSWICK, MD 21716"
5712614116,COMPANION PAWS MOBILE VET SERVICE,5712614116,4090 WATERFOWL LN,"AMISSVILLE, VA 20106"
7034376900,DOMINION ANIMAL HOSPITAL,7034376900,795 STATION ST,"HERNDON, VA 20170"
7039990750,MOBILE VET,7039990750,11924 HOLLY SPRING DR,"GREAT FALLS, VA 22066"
7034358777,HERNDON ANIMAL MEDICAL CENTER,7034358777,720 JACKSON ST,"HERNDON, VA 20170"
7034599724,HERNDON ANIMAL MEDICAL CENTER,7034599724,720 JACKSON ST,"HERNDON, VA 20170"
5403032336,MOBILE VET,5403032336,"RECTORTOWN, VA 20140",5403032336
7034375655,VCA HERNDON-RESTON ANIMAL HOSPITAL,7034375655,500 ELDEN ST,"HERNDON, VA 20170"
5403649111,EMAIL ONLY NO VERBALS 11/20/20,5403649111,20 A JOHN MARASHALL ST,"WARRENTON, VA 20186"
7032777272,PENDER VETERINARY CENTER-CHANTILLY CAMPUS,7032777272,4508 UPPER CUB RUN DR,"CHANTILLY, VA 20151"
7037534444,DOMINION VALLEY ANIMAL HOSPITAL,7037534444,5371 MERCHANTS VIEW SQUARE,"HAYMARKET, VA 20169"
3018744600,HORIZON EQUINE VETERINARY SERVICES,3018744600,4911 BALD HILL RD,"ADAMSTOWN, MD 21710"
5404491537,DAVIS EQUINE,5404491537,"THE PLAINS, VA 20198",5404491537
5409980627,DAVIS EQUINE,5409980627,"THE PLAINS, VA 20198",5409980627
7039459227,ELIZABETH HINES,7039459227,360 HERNDON PKWY,"HERNDON, VA 20170"
5402535619,AGAPE VET CLINIC,5402535619,PO BOX 106,"THE PLAINS, VA 20198"
3047257663,COUNTRYSIDE VETERINARY CLINIC,3047257663,1382 S GEORGE ST,"CHARLES TOWN, WV 25414"
3018103456,BRUNSWICK CROSSING ANIMAL HOSPITAL,3018103456,"1201 DUTCHMAN'S CREEK STE K-M","BRUNSWICK, MD 21716"
7034506760,SENECA HILL ANIMAL HOSPITAL RESORT & SPA,7034506760,11415 GEORGETOWN PIKE,"GREAT FALLS, VA 22066"
5403644950,THE PIEDMONT EQUINE PRACTICE,5403644950,4122 ZULLA RD,"THE PLAINS, VA 20198"
5403644954,THE SMALL ANIMAL CLINIC,5403644954,4122 ZULLA RD,"PLAINS, VA 20198"
7037543309,HAYMARKET VETERINARY SVC,7037543309,5513 CATHARPIN RD,"GAINESVILLE, VA 20155"
7037960033,BANFIELD - RESTON,7037960033,11860 SPECTRUM CTR,"RESTON, VA 20190"
7034353335,FRANKLIN FARM VETERINARY CLNC,7034353335,13320 FRANKLIN FARM RD # J,"HERNDON, VA 20171"
7038808613,LAZAR VETERINARY SURGERY,7038808613,PO BOX 8970,"RESTON, VA 20195"
7033780039,BANFIELD - CHANTILLY,7033780039,13866 METROTECH DR,"CHANTILLY, VA 20151"
3047282203,HILLSIDE VETERINARY HOSPITAL,3047282203,191 AUGUSTINE AVE STE 100,"CHARLES TOWN, WV 25414"
7038028387,CHANTILLY ANIMAL HOSPITAL,7038028387,13705 LEE JACKSON MEMORIAL HWY STE A,"CHANTILLY, VA 20151"
2409946783,MOBILE VET,2409946783,340 ELMINGTON LN,"BERRYVILLE, VA 22611"
3047288330,SPAY TODAY,3047288330,RR 2 BOX 134G,"CHARLES TOWN, WV 25414"
2407229805,MOBILE VET,2407229805,5900 UNION RIDGE RD,"ADAMSTOWN, MD 21710"
7033909150,BANFIELD - HERNDON FOX MILL,7033909150,2553 JOHN MILTON DR,"HERNDON, VA 20171"
7035202702,JUST CATS CLINIC,7035202702,1601 WASHINGTON PLAZA N,"RESTON, VA 20190"
5403644281,MAURICE F CASEY DVM,5403644281,8625 WOODWARD RD,"MARSHALL, VA 20115"
7038606100,RESTON ANIMAL HOSPITAL,7038606100,2403 RESTON PKWY,"RESTON, VA 20191"
3047250428,JEFFERSON ANIMAL HOSPITAL,3047250428,231 N SAMUEL ST,"CHARLES TOWN, WV 25414"
3014617827,KAMELA EVANS DAVIS DVM,3014617827,"BOYDS, MD 20841",3014617827
2059146935,JENNIFER JORDAN DVM,2059146935,"BERRYVILLE, VA 22611",2059146935
5409553001,HARRISON EQUINE,5409553001,1028 SUMMIT PT RD,"BERRYVILLE, RD 22611"
3047251471,VALLEY EQUINE ASSOCIATES,3047251471,515 E 5TH AVE,"RANSON, WV 25438"
5715334873,CHERISH COMPANION MOBILE VET SERVICES,5715334873,12013 INSHA COURT,"RESTON, VA 20191"
